1,1,1
0.99907,0.99998,0.99996
0.99636,0.99991,0.99996
0.9919,0.99989,0.99996
0.98572,0.99967,0.99994
0.97782,0.99934,0.99992
0.96819,0.99868,0.99984
0.95701,0.99752,0.99972
0.94418,0.99567,0.99943
0.9299,0.99289,0.99895
0.91421,0.98896,0.99815
0.8972,0.98361,0.99683
0.87895,0.97652,0.99484
0.85969,0.96748,0.99185
0.83948,0.95618,0.98755
0.81854,0.94241,0.98155
0.79695,0.92594,0.97335
0.7749,0.90668,0.96241
0.75257,0.88456,0.94819
0.73002,0.85959,0.9301
0.70743,0.83189,0.90764
0.6849,0.80167,0.88037
0.66255,0.76923,0.84809
0.64047,0.73492,0.8108
0.61878,0.69917,0.76881
0.59747,0.66243,0.72271
0.57663,0.62517,0.67339
0.55632,0.58785,0.62194
0.53658,0.55089,0.56954
0.51742,0.51467,0.51739
0.49887,0.47952,0.46659
0.48095,0.4457,0.41804
0.46365,0.41341,0.37246
0.44698,0.3828,0.3303
0.43094,0.35396,0.29181
0.41552,0.32692,0.25705
0.40071,0.30169,0.22595
0.38649,0.27824,0.19834
0.37283,0.25653,0.17395
0.35977,0.23647,0.15252
0.34724,0.21798,0.13375
0.33525,0.20098,0.11735
0.32377,0.18535,0.10304
0.31278,0.17102,0.090572
0.30226,0.15789,0.079713
0.29219,0.14585,0.070252
0.28255,0.13482,0.06201
0.27333,0.12472,0.05482
0.26449,0.11548,0.048546
0.25604,0.10701,0.043062
0.24796,0.099245,0.038263
0.24021,0.092131,0.034059
0.2328,0.085606,0.030369
0.2257,0.079619,0.027125
0.2189,0.074119,0.02427
0.21238,0.069065,0.021753
0.20613,0.064417,0.019529
0.20014,0.06014,0.017562
0.19438,0.056201,0.015819
0.18887,0.052569,0.014271
0.18358,0.049217,0.012895
0.1785,0.046122,0.01167
0.17362,0.043262,0.010577
0.16893,0.040616,0.0095999
0.16443,0.038165,0.0087262
0.1601,0.035893,0.0079432
0.15593,0.033785,0.0072404
0.15193,0.03183,0.0066088
0.14806,0.030011,0.00604
0.14435,0.028321,0.0055273
0.14078,0.026746,0.0050645
0.13733,0.02528,0.0046461
0.13401,0.023912,0.0042675
0.13081,0.022636,0.0039243
0.12772,0.021443,0.0036129
0.12474,0.020329,0.0033299
0.12186,0.019286,0.0030725
0.11909,0.018309,0.002838
0.1164,0.017394,0.0026242
0.11381,0.016536,0.0024289
0.11131,0.015731,0.0022504
0.10889,0.014973,0.002087
0.10655,0.014262,0.0019374
0.10428,0.013594,0.0018002
0.10208,0.012963,0.0016743
0.099957,0.01237,0.0015586
0.097901,0.011811,0.0014521
0.095908,0.011284,0.0013541
0.093978,0.010786,0.0012638
0.092106,0.010316,0.0011805
0.090291,0.0098712,0.0011035
0.08853,0.0094511,0.0010324
0.086822,0.0090534,0.00096665
0.085164,0.0086769,0.00090576
0.083554,0.0083202,0.00084934
0.081987,0.0079817,0.00079702
0.080469,0.0076609,0.00074845
0.078993,0.0073564,0.00070331
0.077559,0.0070672,0.00066138
0.076165,0.0067922,0.00062237
0.074809,0.006531,0.00058602
